W207707685, 金门县 女性
A169388488, 台北市 男性
L292150253, 台中县 女性
I150470251, 嘉义县 男性
J211811065, 新竹县 女性
S272029959, 高雄县 女性
W265294049, 金门县 女性
N105753697, 彰化县 男性
L247994885, 台中县 女性
V298971639, 台东县 女性
D247113437, 台南市 女性
C124928688, 基隆市 男性
W167002118, 金门县 男性
R289641491, 台南县 女性
P120360019, 云林县 男性
X259034857, 澎湖县 女性
U174572382, 花莲县 男性
Q112355541, 嘉义县 男性
U213244749, 花莲县 女性
V298674877, 台东县 女性
C189333758, 基隆市 男性
F145767188, 台北县 男性
Y175596431, 阳明山 男性
S251310400, 高雄县 女性
O116263535, 新竹市 男性
Z203341913, 连江县 女性
R236969120, 台南县 女性
E138002877, 高雄市 男性
O285515917, 新竹市 女性
Z299242121, 连江县 女性
M270905960, 南投县 女性
H190827668, 桃园县 男性
N148209778, 彰化县 男性
A293360165, 台北市 女性
U126023396, 花莲县 男性
U273416243, 花莲县 女性
O252621982, 新竹市 女性
B178927476, 台中市 男性
V144166920, 台东县 男性
S147028139, 高雄县 男性
E148297664, 高雄市 男性
O177492743, 新竹市 男性
X126014932, 澎湖县 男性
P211776930, 云林县 女性
Y118468374, 阳明山 男性
O152459760, 新竹市 男性
A162083640, 台北市 男性
E107671486, 高雄市 男性
V205714117, 台东县 女性
G257778612, 宜兰县 女性
T282140297, 屏东县 女性
S222661907, 高雄县 女性
R107110068, 台南县 男性
H169493749, 桃园县 男性
Y220209010, 阳明山 女性
C235098139, 基隆市 女性
R287276414, 台南县 女性
S288743175, 高雄县 女性
H157327383, 桃园县 男性
A216043032, 台北市 女性
E273576741, 高雄市 女性
T109532288, 屏东县 男性
U155197458, 花莲县 男性
O122334634, 新竹市 男性
E128085837, 高雄市 男性
P102133818, 云林县 男性
C279787442, 基隆市 女性
V196528781, 台东县 男性
Z178581292, 连江县 男性
D174347778, 台南市 男性
N112227540, 彰化县 男性
J235110083, 新竹县 女性
O172131781, 新竹市 男性
X175002335, 澎湖县 男性
M260987610, 南投县 女性
U271250934, 花莲县 女性
A235935840, 台北市 女性
B232923885, 台中市 女性
B250894985, 台中市 女性
H226048920, 桃园县 女性
A174402306, 台北市 男性
P112768083, 云林县 男性
O292545916, 新竹市 女性
V178761957, 台东县 男性
G204211839, 宜兰县 女性
V156240673, 台东县 男性
X223382597, 澎湖县 女性
T280112491, 屏东县 女性
H110658696, 桃园县 男性
M274200484, 南投县 女性
T283802018, 屏东县 女性
E207532780, 高雄市 女性
X146894203, 澎湖县 男性
L270448058, 台中县 女性
T192693963, 屏东县 男性
C121996700, 基隆市 男性
M250512487, 南投县 女性
I290213367, 嘉义县 女性
K217908451, 苗栗县 女性
L131456489, 台中县 男性
Q265511235, 嘉义县 女性
W195122018, 金门县 男性
Z236951787, 连江县 女性
J254105717, 新竹县 女性
H144474113, 桃园县 男性
C103608556, 基隆市 男性
S154902524, 高雄县 男性
N231711505, 彰化县 女性
D256925927, 台南市 女性
U237408272, 花莲县 女性
O281805303, 新竹市 女性
Q231911329, 嘉义县 女性
A172226844, 台北市 男性
Z284441345, 连江县 女性
U153576040, 花莲县 男性
S240947026, 高雄县 女性
R184619586, 台南县 男性
R242522713, 台南县 女性
Q283203218, 嘉义县 女性
Q208259841, 嘉义县 女性
I246842107, 嘉义县 女性
F246291792, 台北县 女性
H255220285, 桃园县 女性
I207755816, 嘉义县 女性
O200114845, 新竹市 女性
D187842157, 台南市 男性
C161960088, 基隆市 男性
M157657290, 南投县 男性
Y127337060, 阳明山 男性
V284631597, 台东县 女性
E268321485, 高雄市 女性
G200131750, 宜兰县 女性
E149119981, 高雄市 男性
B139176944, 台中市 男性
R283396184, 台南县 女性
X283527852, 澎湖县 女性
R285633797, 台南县 女性
C276973795, 基隆市 女性
L276937312, 台中县 女性
X267046825, 澎湖县 女性
N228397733, 彰化县 女性
H107303851, 桃园县 男性
K211191738, 苗栗县 女性
Y179799170, 阳明山 男性
C143892327, 基隆市 男性
E148794239, 高雄市 男性
K283474160, 苗栗县 女性
C147073891, 基隆市 男性
Z134540837, 连江县 男性
L178702904, 台中县 男性
U263821223, 花莲县 女性
A102085682, 台北市 男性
T103771147, 屏东县 男性
D129366554, 台南市 男性
G222455320, 宜兰县 女性
J231952754, 新竹县 女性
W221047864, 金门县 女性
H273335752, 桃园县 女性
A188186940, 台北市 男性
U182945424, 花莲县 男性
C172256273, 基隆市 男性
A268713041, 台北市 女性
K110974106, 苗栗县 男性
C171650713, 基隆市 男性
M138444291, 南投县 男性
I131670491, 嘉义县 男性
A258924274, 台北市 女性
R116593806, 台南县 男性
S277730939, 高雄县 女性
G175243674, 宜兰县 男性
O126822546, 新竹市 男性
X133351388, 澎湖县 男性
C171388972, 基隆市 男性
K243589968, 苗栗县 女性
I285159589, 嘉义县 女性
H194534520, 桃园县 男性
B269165255, 台中市 女性
U180209863, 花莲县 男性
H146533302, 桃园县 男性
U111711610, 花莲县 男性
R106358377, 台南县 男性
Z141106372, 连江县 男性
E208292169, 高雄市 女性
H251356104, 桃园县 女性
V270832577, 台东县 女性
E132742461, 高雄市 男性
U273451742, 花莲县 女性
V255386047, 台东县 女性
M180659928, 南投县 男性
D102686299, 台南市 男性
F145092971, 台北县 男性
Y242816279, 阳明山 女性
H297647099, 桃园县 女性
I204709287, 嘉义县 女性
N219944868, 彰化县 女性
F106277583, 台北县 男性
D274101041, 台南市 女性
D253771454, 台南市 女性
J152714341, 新竹县 男性
Z251348393, 连江县 女性
C256446724, 基隆市 女性
Q112126531, 嘉义县 男性
W191124025, 金门县 男性
Q145231494, 嘉义县 男性
C288803904, 基隆市 女性
Q278643844, 嘉义县 女性
I270461616, 嘉义县 女性
B274861773, 台中市 女性
K104596098, 苗栗县 男性
I249175952, 嘉义县 女性
Z208188756, 连江县 女性
O126849252, 新竹市 男性
A128068958, 台北市 男性
L219090434, 台中县 女性
J258213612, 新竹县 女性
C132195013, 基隆市 男性
V118841881, 台东县 男性
H187949128, 桃园县 男性
